Genus,r.PS79.178.20m_p.fastq,r.PS79.178.60m_p.fastq,r.PS79.179.20m_p.fastq,r.PS79.179.60m_p.fastq,r.PS79.193.20m_p.fastq,r.PS79.193.60m_p.fastq,r.PS79.241.20m_p.fastq,r.PS79.241.60m_p.fastq,r.PS79.262.20m_p.fastq,r.PS79.262.60m_p.fastq,r.PS79.287.20m_p.fastq,r.PS79.287.60m_p.fastq,r.PS79.296.20m_p.fastq,r.PS79.296.60m_p.fastq,r.PS79.297.20m_p.fastq,r.PS79.297.60m_p.fastq,r.PS79.298.20m_p.fastq,r.PS79.298.60m_p.fastq,r.PS79.300.20m_p.fastq,r.PS79.300.60m_p.fastq,r.PS79.302.20m_p.fastq,r.PS79.302.60m_p.fastq,r.PS79.304.20m_p.fastq,r.PS79.304.70m_p.fastq,r.PS79.306.20m_p.fastq,r.PS79.306.60m_p.fastq,r.PS79.307.20m_p.fastq,r.PS79.307.60m_p.fastq,r.PS79.308.20m_p.fastq,r.PS79.310.20m_p.fastq,r.PS79.311.20m_p.fastq,r.PS79.311.60m_p.fastq,r.PS79.312.20m_p.fastq,r.PS79.312.60m_p.fastq,r.PS79.313.20m_p.fastq,r.PS79.314.20m_p.fastq,r.PS79.314.60m_p.fastq,r.PS79.315.20m_p.fastq,r.PS79.315.60m_p.fastq,r.PS79.317.20m_p.fastq,r.PS79.317.60m_p.fastq,r.PS79.318.20m_p.fastq,r.PS79.318.50m_p.fastq,r.PS79.319.20m_p.fastq,r.PS79.319.60m_p.fastq,r.PS79.320.20m_p.fastq,r.PS79.320.60m_p.fastq,r.PS79.321.20m_p.fastq,r.PS79.321.60m_p.fastq,r.PS79.322.20m_p.fastq,r.PS79.322.60m_p.fastq,r.PS79.323.20m_p.fastq,r.PS79.323.60m_p.fastq,r.PS79.324.20m_p.fastq,r.PS79.324.60m_p.fastq,r.PS79.326.20m_p.fastq,r.PS79.326.60m_p.fastq,r.PS79.329.20m_p.fastq,r.PS79.329.60m_p.fastq,r.PS79.330.20m_p.fastq,r.PS79.330.60m_p.fastq
Prochlorococcus_MIT9313_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,136,42,0,27,236,241,300,180,232,0,263,138,0,73,257,154,159,166,0,11,0,0,0,0,0,43,0,0,0,0,58,101,0,0,0,0,0,0,0,0,0
Unknown_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,8,0,0,0,12,4,0,20,0,13,0,0,0,0,0,10,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,153,98,0,25,104,93,0,52,78,0,29,48,10,26,54,136,75,68,46,0,41,0,48,154,0,56,80,0,0,0,20,15,101,10,0,29,11,0,0,0,0
Prochlorococcus_MIT9313_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,108,34,12,10,120,178,108,208,118,0,22,0,47,27,189,312,298,367,49,0,0,54,0,0,0,34,21,0,0,0,9,0,14,0,0,1,0,0,0,0,0
Pseudomonas_40,0,2164,266,1287,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,157,0,0,0,99,112,34,89,97,0,150,183,169,132,117,137,88,162,0,0,0,23,0,0,0,38,62,0,0,0,119,277,40,0,0,0,0,0,0,0,0
Prochlorococcus_MIT9313_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,105,69,0,67,111,144,106,149,109,16,141,115,124,89,131,148,151,154,17,31,0,21,0,0,0,35,18,0,13,0,45,57,16,0,0,0,0,0,0,0,0
Unknown_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,135,0,0,22,34,31,59,39,44,0,78,87,84,56,66,61,31,61,0,0,0,0,0,22,0,83,65,0,0,0,58,211,51,183,0,243,38,0,0,17,0
Prochlorococcus_MIT9313_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,77,0,35,194,0,169,0,30,18,82,0,0,47,86,34,27,106,38,48,33,538,0,46,0,497,0,0,0,156,0,0,0,20,50,21,72,0,58,55,0,0,0,0
Ralstonia_45,0,138,0,143,26,14,6,12,119,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,11,160,72,0,7,302,3,4,106,0,15,87,4,216,0,0,0,0,4,28,21,3,0,115,5,0,0,9,0
